Distance,AnswerType
638.3994300418792,2
639.0218580728726,2
646.7068950219156,2
643.4126329459792,2
643.0434188946994,2
643.0038314406836,2
644.5311542045209,2
45.14934620019389,3
45.661899676335516,3
45.07962252690434,3
45.69270446925093,3
44.12379699147576,3
41.08414152393563,3
43.4912423541191,3
58.65634915614763,3
61.199106797480724,4
72.1938216572144,4
84.36512145347325,4
100.15119357412871,4
116.95707624963521,4
136.66448889960668,4
37.86856307454667,3
153.1867256120625,4
290.4717406876559,4
290.41303148063867,4
290.3544825771529,4
290.8083125460118,4
292.3979931255624,4
298.5803313839548,4
301.6385645673914,4
302.1270333965092,4
311.52915883281014,4
319.60157498701614,4
324.291485626941,4
325.89974127565546,4
334.58043792025416,4
327.57559145963376,4
332.3458492390256,4
348.69266550983315,4
324.2955664740815,4
377.6876585642548,4
403.7485982512345,4
422.138259825044,4
424.95646399299903,4
439.7424876360177,4
444.05727398024777,4
446.02212101650935,4
474.722362451161,4
478.7358616012377,4
468.75769714660345,4
468.17099862828485,4
464.2153633391582,4
466.1742803858537,4
455.47503137216955,4
466.40427144059333,4
468.4360633405837,4
475.64788336543046,4
487.9462657970997,4
498.09702798181013,4
506.1904248961866,4
512.7617598598401,4
521.2238927633065,4
522.0876817634451,4
526.2796792012608,4
530.2927574973645,4
536.3584483939908,4
542.9485930376012,4
559.530893041901,4
559.5506590321885,4
561.6631549848171,4
567.8467405763992,4
572.8277390370769,4
577.0103386229404,4
577.9037197252188,4
589.785282043666,4
603.8875079104971,4
609.7553191447084,4
614.4620378032145,4
619.965658622549,4
624.195985652564,4
627.4982284365328,4
631.8511243076775,4
639.458141920937,4
646.8427384446961,4
654.1794523401171,4
544.2960187725008,4
655.6869562987653,4
657.3850456648738,4
652.6016527701505,4
636.6388741321249,4
635.240757978361,4
622.001374978347,4
605.9970462412119,4
605.1533996516455,4
588.8135306259386,4
578.1922982512165,4
559.4891425143389,4
549.6423027640168,4
540.3990562574684,4
538.0671549583819,4
536.3801745365399,4
542.4962427736795,4
545.0283703545376,4
556.253847726087,4
560.6504003492744,4
574.5137803557715,4
570.0808153514317,4
553.2159052185548,4
527.0377904478034,4
522.8481924521111,4
522.6688877511455,4
521.7036130564936,4
518.3767869810661,4
513.6691061739203,4
509.62667657547735,4
504.1728845383811,4
496.67199770026946,4
494.841469535094,4
495.175269557338,4
496.0012301149678,4
494.701552807277,4
489.7058366167764,4
484.54647380964514,4
479.7518869318734,4
479.3211951340612,4
476.54750796010984,4
476.3202870307304,4
473.7540573390467,4
473.42733819329817,4
483.8282120408201,4
470.62149361754575,4
466.5609022549464,4
471.0252448516839,4
475.0918711112722,4
476.90833664579026,4
482.0482405107187,4
485.3078439711412,4
490.03268974433587,4
501.39335314009975,4
499.7845155106916,4
493.49744925956634,4
489.44475026820237,4
487.4788202989518,4
486.6039052592378,4
493.77406657743916,4
488.4673363045204,4
488.48437686558975,4
476.7958545376373,4
467.0362852436178,4
445.04612991785467,4
424.68481424155004,4
416.90755308746657,4
467.1549017885615,4
408.47156403850244,4
393.2101533104454,4
384.8693232608926,4
362.81031932916227,4
357.493656303782,4
362.08635425521703,4
361.14664791829233,4
349.32461433811545,4
338.55861656949725,4
336.04327340886,4
337.50029287475934,4
331.6499268662519,4
328.21988203379266,4
320.044150561708,4
310.78579684350524,4
305.59412846761165,4
298.3204638745704,4
289.2260635298859,4
282.0875854709991,4
278.34924168379155,4
265.6452097418076,4
254.5352594371254,4
246.05308475367346,4
240.5021777028964,4
230.91726156745503,4
223.7964860671403,4
213.40301455036203,4
200.6070461555194,4
200.08514284866084,4
198.83716071422262,4
269.13014490589444,4
190.39799504579008,4
180.55021171526064,4
169.18376283290064,4
164.70601166844514,4
154.73459530148008,4
152.75443834765488,4
150.79667827270146,4
144.28717644107152,4
136.89700889029294,4
132.60550547592268,4
131.9903414770557,4
128.27059095723337,4
123.77355768803636,4
122.54838120763559,4
122.54838120763559,4
126.55937467912703,4
118.91419356617573,4
120.42228043972892,4
126.73837192935197,4
126.73837192935197,4
130.24034584233664,4
130.00049730838728,4
129.87927755519138,4
126.94080971924444,4
119.10938674896306,4
125.24133131874996,4
104.63423710222234,4
90.45683240820543,4
72.93349498283762,4
124.90223270245151,4
54.946620910577415,3
44.83991212166557,3
37.06757715118586,3
33.2937727435001,3
36.33326233796447,3
35.879565041504506,3
34.487376733803586,3
41.90177006659236,3
50.04724997010717,3
35.910731876879574,3
48.027178507320336,3
54.57629309244534,3
69.36832114896212,4
87.31369587217068,4
104.34992126562378,4
107.44891975979812,4
124.6906400142346,4
133.21624587353708,4
150.7205727199604,4
168.42425552661092,4
182.01449300194213,4
192.71408160952322,4
204.22287601963546,4
